date,Town,Count,Tests
2020-05-06,Carver,38,NA
2020-05-06,Charlemont,0,NA
2020-05-06,Charlton,45,NA
2020-05-06,Chatham,10,NA
2020-05-06,Chelmsford,283,NA
2020-05-06,Chelsea,2244,NA
2020-05-06,Cheshire,3,NA
2020-05-06,Chester,5,NA
2020-05-06,Chesterfield,3,NA
2020-05-06,Chicopee,288,NA
2020-05-06,Chilmark,3,NA
2020-05-06,Clarksburg,7,NA
2020-05-06,Clinton,135,NA
2020-05-06,Cohasset,20,NA
2020-05-06,Colrain,3,NA
2020-05-06,Concord,133,NA
2020-05-06,Conway,3,NA
2020-05-06,Cummington,3,NA
2020-05-06,Dalton,7,NA
2020-05-06,Danvers,539,NA
2020-05-06,Dartmouth,205,NA
2020-05-06,Dedham,290,NA
2020-05-06,Deerfield,6,NA
2020-05-06,Dennis,54,NA
2020-05-06,Dighton,44,NA
2020-05-06,Douglas,29,NA
2020-05-06,Dover,14,NA
2020-05-06,Dracut,349,NA
2020-05-06,Dudley,57,NA
2020-05-06,Dunstable,7,NA
2020-05-06,Duxbury,53,NA
2020-05-06,East Bridgewater,148,NA
2020-05-06,East Brookfield,6,NA
2020-05-06,East Longmeadow,200,NA
2020-05-06,Eastham,10,NA
2020-05-06,Easthampton,55,NA
2020-05-06,Easton,213,NA
2020-05-06,Edgartown,6,NA
2020-05-06,Egremont,5,NA
2020-05-06,Erving,5,NA
2020-05-06,Essex,17,NA
2020-05-06,Everett,1212,NA
2020-05-06,Fairhaven,136,NA
2020-05-06,Fall River,652,NA
2020-05-06,Falmouth,136,NA
2020-05-06,Fitchburg,320,NA
2020-05-06,Florida,3,NA
2020-05-06,Foxborough,89,NA
2020-05-06,Framingham,1159,NA
2020-05-06,Franklin,98,NA
